               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12306,            0.043928,            0.091149,          0.00076419,            0.020308,          0.00046846,          0.00013876,             0.11679,            0.029541,            0.091466,              0.0937,              0.0007,              0.0007
                   1,             0.11497,            0.054336,            0.085342,           0.0016937,            0.064391,           0.0028119,          0.00063098,             0.10402,            0.030998,            0.081775,             0.08649,           0.0014901,           0.0014901
                   2,             0.10373,            0.052428,            0.076785,             0.95213,            0.018055,           0.0085302,           0.0022194,            0.093913,              0.0317,            0.070026,             0.07927,           0.0022696,           0.0022696
                   3,            0.095784,            0.059706,            0.065674,             0.94561,             0.01689,           0.0063926,           0.0020741,            0.090888,            0.029503,            0.066099,            0.072039,           0.0030386,           0.0030386
                   4,            0.088478,            0.053666,            0.060709,             0.95888,            0.018055,            0.013369,           0.0040541,            0.082473,            0.034401,            0.064606,            0.064797,            0.003797,            0.003797
                   5,            0.083527,             0.05511,            0.057929,             0.96574,            0.024461,            0.023289,           0.0071436,            0.075478,            0.035088,            0.059307,            0.057545,           0.0045449,           0.0045449
                   6,            0.077784,            0.054599,            0.054917,             0.95371,            0.020967,            0.017777,           0.0056829,            0.087421,            0.041122,              0.0583,            0.050282,           0.0052822,           0.0052822
                   7,            0.078458,             0.05128,            0.051072,             0.90596,            0.060306,             0.02508,           0.0076813,            0.080382,            0.032906,            0.055778,            0.043009,           0.0060089,           0.0060089
                   8,            0.074862,            0.048732,            0.050576,             0.44173,             0.10948,            0.032544,            0.010078,            0.079565,            0.033928,            0.054163,            0.035725,           0.0067251,           0.0067251
                   9,            0.075753,            0.051015,             0.04722,             0.91739,              0.0611,            0.046025,            0.017725,            0.073832,            0.030945,             0.05143,            0.028431,           0.0074307,           0.0074307
                  10,            0.075952,            0.052635,            0.046869,             0.94428,            0.050666,            0.066314,            0.021714,            0.073445,            0.032349,            0.049892,            0.021126,           0.0081258,           0.0081258
                  11,            0.075239,            0.050485,            0.038798,             0.75835,             0.08582,            0.034676,            0.011398,            0.081541,            0.032867,             0.04862,             0.01381,           0.0088103,           0.0088103
