                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0015,                 5.0937,                 1.4498,                      0,                      0,                      0,                      0,                 1.8625,                 4.5572,                 1.3328,               3.13e-05,               3.13e-05,               3.13e-05
                      2,                 1.8993,                 4.8528,                 1.3735,                      0,                      0,                      0,                      0,                 1.7819,                  4.522,                 1.2955,             6.5079e-05,             6.5079e-05,             6.5079e-05
                      3,                 1.7948,                 4.5755,                 1.3107,                0.06667,                0.00366,                0.03516,                0.02244,                 1.7512,                 4.4694,                 1.2717,             9.8177e-05,             9.8177e-05,             9.8177e-05
                      4,                 1.9008,                 4.1335,                 1.3468,                0.02919,                0.04908,                0.04496,                0.02557,                 1.7198,                 4.3111,                  1.247,             0.00013059,             0.00013059,             0.00013059
                      5,                 1.8229,                 3.4228,                 1.3034,                0.72891,                 0.0206,                0.04731,                0.02533,                 1.7341,                 4.0819,                 1.2598,             0.00016233,             0.00016233,             0.00016233
                      6,                 1.8365,                 3.4245,                 1.2859,                 0.0204,                0.18209,                0.05935,                0.03332,                 1.7587,                 3.8155,                 1.2932,             0.00019338,             0.00019338,             0.00019338
                      7,                 1.8749,                 3.0877,                 1.2695,                0.80788,                0.05066,                0.08871,                0.04307,                 1.7643,                 3.5173,                 1.3339,             0.00022375,             0.00022375,             0.00022375
                      8,                 1.8014,                  2.802,                 1.2398,                0.81689,                0.07859,                0.13305,                0.06845,                 1.7641,                 3.0322,                 1.3499,             0.00025344,             0.00025344,             0.00025344
                      9,                 1.7971,                 2.7647,                 1.2539,                0.83851,                0.08654,                0.14065,                0.07414,                 1.8003,                 2.9362,                 1.3585,             0.00028245,             0.00028245,             0.00028245
                     10,                 1.7714,                  2.564,                 1.2665,                0.65408,                0.13585,                0.15964,                0.08869,                 1.8086,                 2.8304,                  1.347,             0.00028511,             0.00028511,             0.00028511
                     11,                 1.7832,                 2.5065,                 1.2804,                0.74595,                0.12922,                 0.1721,                0.09993,                  1.811,                 2.7533,                 1.3484,             0.00028511,             0.00028511,             0.00028511
                     12,                 1.7507,                 2.3363,                  1.201,                0.76725,                0.14204,                 0.1897,                0.10689,                 1.8612,                 2.6198,                 1.3699,             0.00028201,             0.00028201,             0.00028201
                     13,                 1.6825,                 2.1262,                 1.2005,                0.76821,                0.13898,                0.19489,                0.10087,                 1.9093,                 2.5686,                 1.4012,             0.00027891,             0.00027891,             0.00027891
                     14,                 1.7176,                 2.0869,                 1.1994,                0.65561,                0.17375,                0.19685,                0.09897,                 1.9256,                 2.4831,                  1.411,             0.00027582,             0.00027582,             0.00027582
                     15,                 1.6988,                 2.0721,                  1.183,                 0.7378,                0.13723,                 0.2073,                0.11016,                 1.9019,                 2.4221,                 1.3974,             0.00027272,             0.00027272,             0.00027272
                     16,                 1.6427,                 2.1584,                 1.1764,                0.77692,                0.15261,                 0.2361,                0.12707,                 1.9011,                 2.4338,                  1.397,             0.00026962,             0.00026962,             0.00026962
                     17,                  1.628,                 2.0118,                 1.1537,                0.85867,                0.15962,                0.23846,                 0.1274,                 1.8984,                 2.3608,                 1.4025,             0.00026652,             0.00026652,             0.00026652
                     18,                 1.6555,                 1.9874,                 1.1649,                0.79554,                0.16957,                0.24896,                0.13246,                 1.8797,                 2.2824,                 1.4012,             0.00026342,             0.00026342,             0.00026342
                     19,                   1.68,                 1.9499,                 1.1831,                0.53235,                0.24259,                 0.2393,                0.12713,                 1.8849,                 2.2811,                 1.3875,             0.00026032,             0.00026032,             0.00026032
                     20,                  1.576,                 1.8428,                 1.1593,                0.55989,                0.25602,                 0.2309,                0.11969,                  1.902,                  2.302,                 1.3951,             0.00025722,             0.00025722,             0.00025722
                     21,                 1.6468,                 1.8757,                 1.1782,                0.45411,                0.22547,                0.21975,                0.11787,                 1.9195,                 2.3296,                 1.3978,             0.00025412,             0.00025412,             0.00025412
                     22,                 1.6534,                 1.9346,                 1.1959,                0.76921,                0.14799,                0.20884,                0.11175,                 1.8766,                 2.2385,                 1.3499,             0.00025103,             0.00025103,             0.00025103
                     23,                 1.6329,                 1.8524,                 1.1651,                0.61086,                0.16158,                0.20553,                0.10718,                 1.8745,                 2.2123,                 1.3321,             0.00024793,             0.00024793,             0.00024793
                     24,                 1.5805,                 1.7196,                 1.1496,                0.65766,                0.16183,                0.21781,                0.12221,                 1.8363,                 2.1015,                 1.3149,             0.00024483,             0.00024483,             0.00024483
                     25,                 1.5657,                 1.7005,                 1.1229,                0.79143,                0.14886,                0.21967,                0.12643,                 1.8205,                 2.0473,                 1.3069,             0.00024173,             0.00024173,             0.00024173
                     26,                   1.59,                  1.632,                 1.1283,                0.42595,                 0.2432,                0.23435,                0.13351,                 1.8813,                 2.0543,                 1.3455,             0.00023863,             0.00023863,             0.00023863
                     27,                 1.5193,                 1.6088,                 1.1332,                0.43216,                 0.2899,                0.27108,                0.15528,                 1.8428,                 2.0677,                 1.3388,             0.00023553,             0.00023553,             0.00023553
                     28,                 1.5307,                 1.5817,                 1.1454,                0.38602,                 0.2933,                0.27569,                0.15867,                 1.8327,                 2.1118,                 1.3457,             0.00023243,             0.00023243,             0.00023243
                     29,                 1.5175,                 1.5795,                  1.124,                0.47809,                0.21242,                0.26442,                0.15366,                 1.8325,                 2.1357,                 1.3473,             0.00022934,             0.00022934,             0.00022934
                     30,                 1.5353,                 1.6341,                 1.1301,                0.85777,                0.14642,                0.24614,                0.14098,                 1.8568,                 2.0536,                 1.3434,             0.00022624,             0.00022624,             0.00022624
                     31,                 1.4834,                  1.607,                 1.1426,                0.57311,                0.20497,                0.25599,                0.14112,                 1.8526,                 2.0572,                 1.3431,             0.00022314,             0.00022314,             0.00022314
                     32,                 1.4959,                 1.5306,                  1.097,                 0.5724,                0.22138,                0.24948,                0.14053,                 1.8413,                  2.006,                 1.3364,             0.00022004,             0.00022004,             0.00022004
                     33,                 1.4885,                 1.5304,                 1.0953,                0.58449,                0.20983,                0.25745,                0.14132,                 1.8268,                 1.9383,                 1.3136,             0.00021694,             0.00021694,             0.00021694
                     34,                 1.4991,                 1.5012,                 1.1104,                0.54998,                0.22752,                0.25708,                0.13576,                 1.8345,                 1.9344,                 1.3208,             0.00021384,             0.00021384,             0.00021384
                     35,                 1.4561,                 1.4322,                  1.083,                 0.5338,                0.25083,                0.27347,                 0.1432,                 1.8376,                 1.9761,                 1.3393,             0.00021074,             0.00021074,             0.00021074
                     36,                 1.4459,                  1.501,                 1.0902,                0.58094,                0.21536,                0.27568,                0.14312,                 1.8587,                 1.8945,                 1.3634,             0.00020764,             0.00020764,             0.00020764
                     37,                 1.4416,                 1.3725,                 1.0889,                0.69309,                0.22052,                0.29002,                0.15345,                 1.8463,                  1.899,                 1.3569,             0.00020455,             0.00020455,             0.00020455
                     38,                 1.4432,                 1.4558,                 1.0914,                0.66906,                0.23867,                 0.3016,                0.16487,                 1.8154,                  1.865,                 1.3488,             0.00020145,             0.00020145,             0.00020145
                     39,                 1.4345,                 1.3893,                 1.0964,                0.53573,                0.26026,                0.28709,                0.15466,                 1.8453,                 1.9267,                 1.3544,             0.00019835,             0.00019835,             0.00019835
                     40,                  1.444,                 1.3883,                 1.0876,                0.51991,                0.23994,                0.26616,                0.14185,                 1.8512,                 1.9638,                 1.3555,             0.00019525,             0.00019525,             0.00019525
                     41,                 1.4306,                 1.4297,                 1.0774,                0.47619,                0.24136,                0.27204,                0.14559,                 1.8521,                 1.9766,                 1.3624,             0.00019215,             0.00019215,             0.00019215
                     42,                 1.4196,                 1.3442,                 1.0799,                0.49101,                0.23917,                 0.2765,                0.14696,                 1.8674,                 2.0584,                 1.3554,             0.00018905,             0.00018905,             0.00018905
                     43,                 1.3972,                 1.3191,                 1.0584,                0.44186,                0.26049,                0.28719,                0.14768,                  1.922,                 2.0792,                 1.3701,             0.00018595,             0.00018595,             0.00018595
